FILEID,STUSAB,GEOCODE,COUNTY,TRACT,BLKGRP,BLOCK,AREALAND,NAME,INTPTLAT,INTPTLON,P0010001,P0020001,P0030001,P0050001,P0050003,P0050004,State,Proposed 2022_SD,County,Tract,BlockGroup,Block,Adj_Population,dif_pop,adjpop
PLST,DE,100010402011004,1,40201,1,1004,613111,Block 1004,39.3003082,-75.6245222,74,74,57,0,0,0,10,14,10001,10001040201,100010402011,100010402011004,74,0,74
PLST,DE,100010402011005,1,40201,1,1005,16621,Block 1005,39.2961993,-75.6273273,52,52,36,0,0,0,10,14,10001,10001040201,100010402011,100010402011005,52,0,52
PLST,DE,100010402011006,1,40201,1,1006,26785,Block 1006,39.2951369,-75.6254024,63,63,34,0,0,0,10,14,10001,10001040201,100010402011,100010402011006,63,0,63
PLST,DE,100010402011007,1,40201,1,1007,17766,Block 1007,39.295679,-75.6266511,57,57,42,0,0,0,10,14,10001,10001040201,100010402011,100010402011007,57,0,57
PLST,DE,100010402011008,1,40201,1,1008,3997,Block 1008,39.2948466,-75.6219976,0,0,0,0,0,0,10,14,10001,10001040201,100010402011,100010402011008,0,0,0
PLST,DE,100010402011009,1,40201,1,1009,18623,Block 1009,39.295011,-75.6284196,43,43,26,0,0,0,10,14,10001,10001040201,100010402011,100010402011009,43,0,43
PLST,DE,100010402011010,1,40201,1,1010,159678,Block 1010,39.3024004,-75.6282694,0,0,0,0,0,0,10,14,10001,10001040201,100010402011,100010402011010,0,0,0
PLST,DE,100010402011011,1,40201,1,1011,13516,Block 1011,39.3035262,-75.6282402,0,0,0,0,0,0,10,14,10001,10001040201,100010402011,100010402011011,0,0,0
PLST,DE,100010402011012,1,40201,1,1012,34497,Block 1012,39.3001728,-75.6323428,29,29,25,0,0,0,10,14,10001,10001040201,100010402011,100010402011012,30,1,30
PLST,DE,100010402011013,1,40201,1,1013,222248,Block 1013,39.298954,-75.6354042,255,255,202,0,0,0,10,14,10001,10001040201,100010402011,100010402011013,256,1,256
PLST,DE,100010402011014,1,40201,1,1014,95574,Block 1014,39.2984768,-75.6385243,117,117,94,0,0,0,10,14,10001,10001040201,100010402011,100010402011014,117,0,117
PLST,DE,100010402011015,1,40201,1,1015,89774,Block 1015,39.2949372,-75.6360265,43,43,31,0,0,0,10,14,10001,10001040201,100010402011,100010402011015,43,0,43
PLST,DE,100010402011016,1,40201,1,1016,6078,Block 1016,39.2918498,-75.6343697,11,11,11,0,0,0,10,14,10001,10001040201,100010402011,100010402011016,11,0,11
PLST,DE,100010402011017,1,40201,1,1017,6014,Block 1017,39.2921013,-75.6357364,14,14,12,0,0,0,10,14,10001,10001040201,100010402011,100010402011017,15,1,15
PLST,DE,100010402011018,1,40201,1,1018,8625,Block 1018,39.2932617,-75.6363328,27,27,23,0,0,0,10,14,10001,10001040201,100010402011,100010402011018,27,0,27
PLST,DE,100010402011019,1,40201,1,1019,676449,Block 1019,39.2949524,-75.6419857,0,0,0,0,0,0,10,14,10001,10001040201,100010402011,100010402011019,0,0,0
